title,shop_name,price,rating,review_count,tags,listing_url,product_type,aesthetic,bundle_type,pain_point,pattern_notes,risk_flags
ADHD Student Planner Bundle Printable,PlannerHub,8.99,4.9,2341,"planner,adhd,student,printable,focus",,planner,minimalist,bundle,forgetting tasks and overwhelm,High review count — strong demand signal,
Minimal Weekly Reset Planner A5,CleanPlanners,5.99,4.7,892,"planner,minimalist,weekly,reset,a5",,planner,minimalist,single,lack of weekly structure,Simple design outsells complex,
Canva Social Media Kit for Coaches,CoachTemplates,19.99,4.8,445,"canva,social media,coach,instagram,template",,canva_template,professional,kit,inconsistent branding,High price point accepted for Canva,
Printable Budget Planner 2026 Paycheck,BudgetBoss,6.99,4.6,1205,"budget,planner,paycheck,printable,finance",,planner,clean,single,living paycheck to paycheck,Seasonal spike Jan–Mar,
ADHD Daily Planner Printable Adult Focus,FocusFirst,9.99,4.9,3102,"adhd,daily,planner,adult,focus,printable",,planner,minimalist,bundle,executive dysfunction paralysis,Top seller in category — study pattern,
Notion Life Dashboard Template 2026,NotionPro,12.99,4.7,678,"notion,dashboard,life,template,productivity",,tracker,modern,single,scattered systems,Notion templates hold premium pricing,
Canva Resume Template Modern Professional,ResumeKing,7.99,4.8,2890,"canva,resume,template,modern,professional,cv",,canva_template,professional,bundle,job search stress,Perennial seller — career pivots,
Social Media Content Calendar Canva,ContentCreator,14.99,4.7,512,"canva,content,calendar,social media,instagram,monthly",,canva_template,colorful,single,inconsistent posting,Monthly content planning pattern,
Self-Care Planner Printable Daily,WellnessPlanner,5.99,4.5,743,"self-care,planner,daily,wellness,mental health,printable",,planner,boho,single,burnout and overwhelm,Mental health angle growing fast,
Student Semester Planner Bundle Printable,StudyBuddy,11.99,4.8,1567,"student,semester,planner,study,printable,college",,planner,clean,bundle,academic overwhelm,Back-to-school spike Aug–Sep,
